bait	prey	significant	HCDP	subcell_localization	logFC_APMS	padj_APMS	logFC_TbID	padj_TbID
ERK1WT	TNRC6A	TbID	no	stress_granule	-0.250090293652836	0.0254297077132577	0.937061470455526	8.65424946820583e-06
MEK1WT	TNRC6A	TbID	no	stress_granule	-0.0204551925215126	0.913865636673888	1.38856751911961	3.49705164840789e-09
MEK2AA	TNRC6A	TbID	no	stress_granule	-0.334406187979216	0.00918894786867565	1.54438272191754	1.12706731932853e-09
MEK1AA	TNRC6A	TbID	no	stress_granule	-0.256675590551039	0.0266281389376729	1.17178844344228	1.88720690551401e-08
ERK2WT	TNRC6B	shared	yes	nucleolus	0.530545937550832	0.000856167750407021	1.10921452283691	2.57834343208963e-07
MEK2DD	TNRC6B	TbID	yes	nucleolus	-0.456484206829728	0.000873501698090002	0.908351648434819	2.37719745959952e-07
MEK2AA	TNRC6B	TbID	yes	nucleolus	-0.113520088873952	0.477287160958814	1.08660661133114	7.57561067098951e-08
MEK1AA	TNRC6C	TbID	no	cytosol	-0.138570915023343	0.530373515492335	0.920509192987587	3.20688811721466e-08
ERK2WT	TNRC6C	shared	no	cytosol	0.648910639605943	0.00159552065802902	1.21435833321204	7.4057250787408e-09
MEK1WT	TNRC6C	shared	no	cytosol	0.492873336812075	0.020116212904142	1.28333640826272	4.09567204279855e-10
MEK2DD	TNRC6C	TbID	no	cytosol	-0.21309454248291	0.161574595561469	1.29541399528977	3.70801675023594e-10
MEK2AA	TNRC6C	TbID	no	cytosol	0.0842113928524127	0.721656145021665	1.26854382591654	4.93582656575681e-10
Raf1S257L	USP34	shared	no	cytosol	1.69172739789515	6.70953863673992e-09	0.261122577340717	2.03782536181425e-05
ArafD447A	USP34	shared	no	cytosol	1.48024414000589	5.51856035492575e-09	0.199923711329632	0.000985201924082066
ArafWT	USP34	AP-MS	no	cytosol	1.65925410459205	1.79810714540514e-09	0.0499253623630771	0.244566745217222
ArafS214P	USP34	AP-MS	no	cytosol	2.45523734050165	1.66354843871839e-08	0.0857909108605837	0.0618422976435231
Raf1S259F	USP34	shared	no	cytosol	1.70007129069861	4.87201079095732e-08	0.258540380472858	1.47676485707637e-05
NrasQ61R	VANGL2	TbID	yes	plasma_membrane	NA	NA	0.941934140324883	2.91041146006324e-07
Raf1D486A	VPS26A	TbID	yes	early_endosome	0.0134087862244872	0.935692738951317	0.936815492419043	2.58788468858634e-08
KrasS17N	WNT11	TbID	no	NA	NA	NA	0.79082099574978	0.00348224991799515
NrasQ61R	WNT11	AP-MS	no	NA	1.1115508650101	0.0138447124084283	0.148220618440333	0.127141674847526
KrasG12D	WNT11	TbID	no	NA	NA	NA	0.796605652896174	0.00381220707388577
ArafWT	WNT11	shared	no	NA	1.22133953113574	0.00625422860751804	0.397409343989221	0.000425245788424294
KrasG12V	WNT11	TbID	no	NA	NA	NA	0.906637917435087	0.00303503870328164
HrasS17N	WNT3A	TbID	no	NA	NA	NA	0.944248591156784	5.56652305057959e-06
HrasG13R	YWHAZ	shared	no	14-3-3_scaffold	1.24092343744329	0.000453686485713281	0.748026325565847	2.91155540834639e-06
ArafD447A	YWHAZ	shared	no	14-3-3_scaffold	3.21164202240693	1.68703386440083e-11	0.26638225643807	0.0121927837340639
BrafWT	YWHAZ	core	no	14-3-3_scaffold	6.66271634432154	5.32803063041571e-15	1.93893852435861	4.52821920938129e-09
BrafV600E	YWHAZ	core	no	14-3-3_scaffold	6.33792071625761	5.76702807733555e-14	2.46500850708669	2.99504590548221e-11
MEK2AA	YWHAZ	shared	no	14-3-3_scaffold	3.78869637898545	1.44935118514039e-11	0.321393386928235	0.00379222888533163
Raf1WT	YWHAZ	core	no	14-3-3_scaffold	5.82641601295002	5.32288786322728e-14	1.16594016689713	2.587156491129e-08
BrafD594N	YWHAZ	core	no	14-3-3_scaffold	6.59004881550581	1.09378039129832e-14	2.94576463783039	2.47220295701792e-11
ArafS214P	YWHAZ	core	no	14-3-3_scaffold	2.94497965300822	1.04018601799573e-07	1.05930569432625	4.00629792976679e-08
Raf1D486A	YWHAZ	core	no	14-3-3_scaffold	4.720800439885	4.34456215720625e-13	1.12300260352652	2.2091184398472e-08
MEK2DD	YWHAZ	shared	no	14-3-3_scaffold	3.96591686157534	8.18342565779896e-12	0.752716950406143	1.22275409336416e-06
