subcell_localization	query	category	term_id	term_name	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PM	NRAS	GO Process	GO:0007155	Cell adhesion	12	965	0.73	0.59	0.002	9606.ENSP00000308727,9606.ENSP00000340688,9606.ENSP00000349486,9606.ENSP00000355771,9606.ENSP00000356790,9606.ENSP00000366246,9606.ENSP00000370588,9606.ENSP00000382492,9606.ENSP00000428056,9606.ENSP00000447006,9606.ENSP00000485276,9606.ENSP00000495631	SUSD5,ADGRL1,SCRIB,AFDN,ATP1B1,GPC6,CD99,RADIL,PIK3R1,CNTN1,SCARF2,ARHGEF7
PM	ARAF	GO Process	GO:0007155	Cell adhesion	17	965	0.82	0.95	0.00000401	9606.ENSP00000204961,9606.ENSP00000252483,9606.ENSP00000271332,9606.ENSP00000341198,9606.ENSP00000350896,9606.ENSP00000351209,9606.ENSP00000352138,9606.ENSP00000353608,9606.ENSP00000366246,9606.ENSP00000377941,9606.ENSP00000418070,9606.ENSP00000420321,9606.ENSP00000426632,9606.ENSP00000428056,9606.ENSP00000441802,9606.ENSP00000447006,9606.ENSP00000493716	EFNB1,NECTIN2,CELSR2,NEO1,EPHB4,EPHA2,KIRREL1,DSC3,GPC6,ACTN1,NECTIN3,ROBO1,ERBIN,PIK3R1,PCDH7,CNTN1,EFNB2
PM	RAF1	GO Process	GO:0007155	Cell adhesion	12	965	0.66	0.49	0.0063	9606.ENSP00000219150,9606.ENSP00000261590,9606.ENSP00000265371,9606.ENSP00000290401,9606.ENSP00000308727,9606.ENSP00000351209,9606.ENSP00000355361,9606.ENSP00000377941,9606.ENSP00000420321,9606.ENSP00000428056,9606.ENSP00000438262,9606.ENSP00000485276	CORO1A,DSG2,NRP1,NPTN,SUSD5,EPHA2,CD47,ACTN1,ROBO1,PIK3R1,TJP2,SCARF2
PM	MEK2	GO Process	GO:0007155	Cell adhesion	12	965	0.68	0.48	0.0077	9606.ENSP00000219150,9606.ENSP00000261023,9606.ENSP00000290401,9606.ENSP00000296181,9606.ENSP00000333769,9606.ENSP00000341198,9606.ENSP00000349486,9606.ENSP00000351209,9606.ENSP00000402060,9606.ENSP00000438262,9606.ENSP00000493716,9606.ENSP00000495631	CORO1A,ITGAV,NPTN,ITGB5,BSG,NEO1,SCRIB,EPHA2,PVR,TJP2,EFNB2,ARHGEF7
PM	NRAS	GO Process	GO:0016477	Cell migration	12	903	0.76	0.62	0.0015	9606.ENSP00000226225,9606.ENSP00000264039,9606.ENSP00000312506,9606.ENSP00000349486,9606.ENSP00000357040,9606.ENSP00000366246,9606.ENSP00000370542,9606.ENSP00000370588,9606.ENSP00000382492,9606.ENSP00000422591,9606.ENSP00000428056,9606.ENSP00000485033	TNFAIP1,GPC1,CSPG4,SCRIB,VANGL2,GPC6,SDC1,CD99,RADIL,SLIT2,PIK3R1,DOCK1
PM	BRAF	GO Process	GO:0016477	Cell migration	13	903	0.86	0.8	0.00018	9606.ENSP00000219150,9606.ENSP00000226225,9606.ENSP00000264039,9606.ENSP00000295633,9606.ENSP00000307046,9606.ENSP00000312506,9606.ENSP00000331602,9606.ENSP00000351209,9606.ENSP00000358120,9606.ENSP00000366246,9606.ENSP00000422591,9606.ENSP00000428924,9606.ENSP00000462468	CORO1A,TNFAIP1,GPC1,FSTL1,SDC2,CSPG4,PRKCD,EPHA2,PLEKHO1,GPC6,SLIT2,LYN,YES1
PM	RAF1	GO Process	GO:0016477	Cell migration	13	903	0.72	0.6	0.0014	9606.ENSP00000219150,9606.ENSP00000226225,9606.ENSP00000256196,9606.ENSP00000264039,9606.ENSP00000265371,9606.ENSP00000312506,9606.ENSP00000351209,9606.ENSP00000355361,9606.ENSP00000358120,9606.ENSP00000420321,9606.ENSP00000422591,9606.ENSP00000428056,9606.ENSP00000428924	CORO1A,TNFAIP1,RRAS2,GPC1,NRP1,CSPG4,EPHA2,CD47,PLEKHO1,ROBO1,SLIT2,PIK3R1,LYN
PM	MEK1_2	GO Process	GO:0016477	Cell migration	15	903	0.75	0.72	0.00022	9606.ENSP00000219150,9606.ENSP00000226225,9606.ENSP00000261023,9606.ENSP00000264039,9606.ENSP00000295633,9606.ENSP00000296181,9606.ENSP00000312506,9606.ENSP00000333769,9606.ENSP00000341198,9606.ENSP00000349486,9606.ENSP00000351209,9606.ENSP00000358120,9606.ENSP00000380227,9606.ENSP00000422591,9606.ENSP00000493716	CORO1A,TNFAIP1,ITGAV,GPC1,FSTL1,ITGB5,CSPG4,BSG,NEO1,SCRIB,EPHA2,PLEKHO1,ITGA4,SLIT2,EFNB2
PM	MEK1	GO Process	GO:0016477	Cell migration	10	903	1.11	1.22	0.0000098	9606.ENSP00000219150,9606.ENSP00000226225,9606.ENSP00000264039,9606.ENSP00000295633,9606.ENSP00000312506,9606.ENSP00000349486,9606.ENSP00000351209,9606.ENSP00000358120,9606.ENSP00000380227,9606.ENSP00000422591	CORO1A,TNFAIP1,GPC1,FSTL1,CSPG4,SCRIB,EPHA2,PLEKHO1,ITGA4,SLIT2
PM	MEK2	GO Process	GO:0016477	Cell migration	12	903	0.71	0.5	0.007	9606.ENSP00000219150,9606.ENSP00000226225,9606.ENSP00000261023,9606.ENSP00000264039,9606.ENSP00000296181,9606.ENSP00000312506,9606.ENSP00000333769,9606.ENSP00000341198,9606.ENSP00000349486,9606.ENSP00000351209,9606.ENSP00000358120,9606.ENSP00000493716	CORO1A,TNFAIP1,ITGAV,GPC1,ITGB5,CSPG4,BSG,NEO1,SCRIB,EPHA2,PLEKHO1,EFNB2
