Network	Bait	Prey	Bait_uniprot	Prey_uniprot	Interaction	SILAC Ratio               (Prey abundance in EGFRNetmtKRAS-Lo AP/Prey abundance in EV control AP)	Log2 (SILAC ratio)	t-test                                   P value	Significance A	Is significantly rewired (relative to EGFRNetmtKRAS-Hi)?	Is interaction in Bioplex 2.0 (Huttlin et al., 2017)?	Is interaction in Rolland et al., 2014?	Is interaction in IID (Kotlyar et al. 2016)?	Is interaction in Hein et al., 2015?
EGFRNetmtKRAS-Lo	MAP2K2	HSP90AA1	P36507	P07900	MAP2K2_HSP90AA1	6.99	2.81	4.15E-08	2.71E-11	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	TUBB	P36507	P07437	MAP2K2_TUBB	2.59	1.37	5.77E-06	5.47E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	EIF2S1	P36507	P05198	MAP2K2_EIF2S1	1.96	0.97	1.13E-02	9.60E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	RAF1	P36507	P04049	MAP2K2_RAF1	10.75	3.43	8.56E-08	6.88E-16	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	MAP2K2	HPX	P36507	P02790	MAP2K2_HPX	16.25	4.02	2.09E-02	4.13E-21	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	BAG2	P36507	O95816	MAP2K2_BAG2	5.22	2.38	3.83E-06	1.13E-08	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	DNAJA2	P36507	O60884	MAP2K2_DNAJA2	2.05	1.03	2.08E-05	6.45E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	DNAJB11	P46734	Q9UBS4	MAP2K3_DNAJB11	2.83	1.50	1.12E-02	2.25E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	HSPBP1	P46734	Q9NZL4	MAP2K3_HSPBP1	2.11	1.07	1.55E-04	2.17E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	MAP3K5	P46734	Q99683	MAP2K3_MAP3K5	4.79	2.26	5.70E-03	8.35E-06	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	MAP2K3	MMS19	P46734	Q96T76	MAP2K3_MMS19	1.90	0.93	1.22E-02	4.08E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	USP7	P46734	Q93009	MAP2K3_USP7	3.36	1.75	8.44E-04	4.46E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	USP9Y	P46734	O00507	MAP2K3_USP9Y	3.18	1.67	2.45E-04	7.76E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	USP9X	P46734	Q93008	MAP2K3_USP9X	3.18	1.67	2.45E-04	7.76E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	HDAC2	P46734	Q92769	MAP2K3_HDAC2	1.87	0.90	1.89E-02	4.58E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	HSPH1	P46734	Q92598	MAP2K3_HSPH1	2.45	1.30	2.62E-03	7.21E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	HUWE1	P46734	Q7Z6Z7	MAP2K3_HUWE1	2.50	1.32	5.89E-03	6.30E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	DCAF8	P46734	Q5TAQ9	MAP2K3_DCAF8	2.81	1.49	3.20E-02	2.40E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	PDCD4	P46734	Q53EL6	MAP2K3_PDCD4	2.10	1.07	6.17E-03	2.21E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	RBBP7	P46734	Q16576	MAP2K3_RBBP7	2.40	1.26	3.88E-02	8.54E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	CDC37	P46734	Q16543	MAP2K3_CDC37	2.18	1.12	8.02E-03	1.72E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	MAPK14	P46734	Q16539	MAP2K3_MAPK14	11.24	3.49	2.85E-03	1.25E-11	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	MAP2K3	DDB1	P46734	Q16531	MAP2K3_DDB1	1.86	0.90	4.97E-04	4.68E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	FAT1	P46734	Q14517	MAP2K3_FAT1	2.03	1.02	3.06E-03	2.78E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	TUBB2A	P46734	Q13885	MAP2K3_TUBB2A	1.85	0.88	1.41E-02	4.88E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	PDAP1	P46734	Q13442	MAP2K3_PDAP1	2.42	1.28	1.97E-02	7.96E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	MTA1	P46734	Q13330	MAP2K3_MTA1	1.98	0.98	3.12E-02	3.25E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	MAD2L1	P46734	Q13257	MAP2K3_MAD2L1	6.33	2.66	2.68E-02	1.93E-07	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	TUBB4B	P46734	P68371	MAP2K3_TUBB4B	1.96	0.97	1.61E-04	3.41E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	RPS21	P46734	P63220	MAP2K3_RPS21	2.16	1.11	1.24E-02	1.85E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	GRB2	P46734	P62993	MAP2K3_GRB2	2.10	1.07	1.41E-04	2.22E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	PPP2CA	P46734	P67775	MAP2K3_PPP2CA	2.17	1.12	4.18E-02	1.78E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	PPP2CB	P46734	P62714	MAP2K3_PPP2CB	2.17	1.12	4.18E-02	1.78E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	EIF6	P46734	P56537	MAP2K3_EIF6	4.31	2.11	1.86E-02	3.02E-05	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	USP11	P46734	P51784	MAP2K3_USP11	4.39	2.13	1.12E-02	2.45E-05	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	BCAP31	P46734	P51572	MAP2K3_BCAP31	1.86	0.90	4.32E-02	4.65E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	EIF1AY	P46734	O14602	MAP2K3_EIF1AY	2.29	1.20	2.32E-03	1.20E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	EIF1AX	P46734	P47813	MAP2K3_EIF1AX	2.29	1.20	2.32E-03	1.20E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	MAP2K3	P46734	P46734	MAP2K3_MAP2K3	15.66	3.97	1.97E-09	1.56E-14	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	MAP2K3	HSPA9	P46734	P38646	MAP2K3_HSPA9	2.36	1.24	2.13E-03	9.65E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	CTNNB1	P46734	P35222	MAP2K3_CTNNB1	2.11	1.08	1.76E-04	2.13E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	CTNNA1	P46734	P35221	MAP2K3_CTNNA1	2.37	1.25	4.07E-02	9.31E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	HSPA4	P46734	P34932	MAP2K3_HSPA4	2.56	1.36	1.44E-03	5.15E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	DNAJA1	P46734	P31689	MAP2K3_DNAJA1	2.27	1.18	3.54E-03	1.31E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	POLR2B	P46734	P30876	MAP2K3_POLR2B	1.88	0.91	6.01E-03	4.41E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	MAPK1	P46734	P28482	MAP2K3_MAPK1	7.54	2.92	3.61E-04	1.31E-08	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	CAD	P46734	P27708	MAP2K3_CAD	2.92	1.55	2.31E-04	1.68E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	CTNNA2	P46734	P26232	MAP2K3_CTNNA2	2.20	1.14	6.21E-03	1.61E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	HSPA6	P46734	P17066	MAP2K3_HSPA6	5.94	2.57	6.62E-04	4.74E-07	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	HSPA8	P46734	P11142	MAP2K3_HSPA8	4.65	2.22	6.68E-04	1.23E-05	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	HSPA5	P46734	P11021	MAP2K3_HSPA5	4.09	2.03	5.11E-04	5.58E-05	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	HSPA1A	P46734	P08107	MAP2K3_HSPA1A	3.04	1.60	2.03E-03	1.19E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	TUBB	P46734	P07437	MAP2K3_TUBB	2.18	1.12	4.59E-05	1.72E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	HSPB1	P46734	P04792	MAP2K3_HSPB1	2.47	1.30	3.45E-04	6.85E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	HSPA4L	P46734	O95757	MAP2K3_HSPA4L	5.17	2.37	2.27E-02	3.18E-06	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	MAP3K6	P46734	O95382	MAP2K3_MAP3K6	12.49	3.64	3.59E-04	1.63E-12	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	NPM3	P46734	O75607	MAP2K3_NPM3	1.92	0.94	6.66E-03	3.94E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	DNAJA2	P46734	O60884	MAP2K3_DNAJA2	2.38	1.25	8.64E-04	9.21E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K3	HAT1	P46734	O14929	MAP2K3_HAT1	3.06	1.61	1.26E-03	1.11E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	MAP3K2	Q13163	Q9Y2U5	MAP2K5_MAP3K2	2.76	1.47	3.25E-02	5.20E-05	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	MAP2K5	SLC25A18	Q13163	Q9H1K4	MAP2K5_SLC25A18	2.40	1.26	1.09E-02	4.21E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	SLC25A22	Q13163	Q9H936	MAP2K5_SLC25A22	2.40	1.26	1.09E-02	4.21E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	CCT7	Q13163	Q99832	MAP2K5_CCT7	1.62	0.69	4.56E-05	3.20E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	CDC37	Q13163	Q16543	MAP2K5_CDC37	5.46	2.45	7.60E-05	5.39E-11	No	Yes	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	SQSTM1	Q13163	Q13501	MAP2K5_SQSTM1	4.73	2.24	4.62E-04	1.65E-09	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	MAP2K5	MAP2K5	Q13163	Q13163	MAP2K5_MAP2K5	15.00	3.91	1.08E-05	4.09E-25	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	MAP2K5	SLC25A11	Q13163	Q02978	MAP2K5_SLC25A11	1.96	0.97	6.46E-04	4.99E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	CCT2	Q13163	P78371	MAP2K5_CCT2	1.76	0.82	2.57E-05	1.50E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K5	TUBB4B	Q13163	P68371	MAP2K5_TUBB4B	1.81	0.86	4.99E-05	1.12E-02	No	No	No	No	No
