Network	Bait	Prey	Bait_UniProt	Prey_UniProt	Interaction	SILAC Ratio               (Prey abundance in EGFRNetmtKRAS-Hi AP/Prey abundance in EV control AP)	Log2 (SILAC ratio)	t-test                    P value	Significance A	Is significantly rewired (relative to EGFRNetmtKRAS-Lo)?	Is interaction in Bioplex 2.0 (Huttlin et al., 2017)?	Is interaction in Rolland et al., 2014?	Is interaction in IID (Kotlyar et al. 2016)?	Is interaction in Hein et al., 2015?
EGFRNetmtKRAS-Hi	PEBP1	ACSL5	P30086	Q9ULC5	PEBP1_ACSL5	2.38	1.25	3.03E-02	8.29E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PEBP1	MAGEE1	P30086	Q9HCI5	PEBP1_MAGEE1	1.86	0.89	2.05E-02	4.45E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	PEBP1	CACYBP	P30086	Q9HB71	PEBP1_CACYBP	1.91	0.94	1.53E-06	3.71E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PEBP1	TMSB10	P30086	P63313	PEBP1_TMSB10	2.33	1.22	1.25E-04	9.92E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PEBP1	FKBP1A	P30086	P62942	PEBP1_FKBP1A	1.83	0.87	1.87E-03	4.91E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PEBP1	HSPE1	P30086	P61604	PEBP1_HSPE1	1.92	0.94	5.63E-11	3.66E-02	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	PEBP1	MDH2	P30086	P40926	PEBP1_MDH2	1.95	0.96	4.88E-10	3.32E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PEBP1	SFN	P30086	P31947	PEBP1_SFN	1.85	0.89	4.38E-10	4.52E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PEBP1	S100A4	P30086	P26447	PEBP1_S100A4	2.15	1.10	2.23E-05	1.75E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	PEBP1	STMN1	P30086	P16949	PEBP1_STMN1	2.09	1.06	1.35E-05	2.14E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PEBP1	ALDOC	P30086	P09972	PEBP1_ALDOC	2.03	1.02	7.28E-04	2.58E-02	No	No	No	No	No
