inflammation	arthritis	hypertensive_disease	ischemia	rasopathies	NRASQ61R	Hydrops Fetalis	Hypertrophic Cardiomyopathy	HIV Infections	Vascular anomaly	Epidermal nevus	cholestasis	endometriosis	Gene.names
0	0	1	0	0	0	0	0	0	0	0	0	0	CYP11B2
0	0	0	0	0	0	0	0	0	0	0	0	1	CYP19A1
0	0	1	0	0	0	0	0	0	0	0	0	0	CYP1A1
0	0	0	0	0	0	0	0	0	0	0	0	1	CYP26A1
0	0	0	0	0	0	0	0	1	0	0	0	0	CYP2B6
0	0	1	0	0	0	0	0	0	0	0	0	0	CYP2C9
0	0	1	0	0	0	0	0	0	0	0	0	0	CYP2J2
0	0	1	1	0	0	0	0	0	0	0	0	0	CYP2R1
1	0	0	0	0	0	0	0	0	0	0	0	0	CYP3A4
0	0	1	0	0	0	0	0	0	0	0	0	0	CYP4A11
0	0	0	1	0	0	0	0	0	0	0	0	0	DAB2IP
0	1	0	0	0	0	0	0	0	0	0	0	0	DAPK1
0	0	1	0	0	0	0	0	0	0	0	0	0	DARS2
0	0	1	0	0	0	0	0	0	0	0	0	0	DBH
0	0	0	1	0	0	0	0	0	0	0	0	0	DCN
0	0	0	0	0	0	0	0	0	0	0	0	1	DCSTAMP
0	0	1	1	0	0	0	0	0	0	0	0	0	DDAH1
0	0	0	1	0	0	0	0	0	0	0	0	0	DDAH2
0	0	0	0	1	0	0	0	0	0	0	0	0	DDC
0	1	0	0	0	0	0	0	0	0	0	0	0	DDIT3
0	0	0	0	0	0	0	0	1	0	0	0	0	DDX1
0	0	0	0	0	0	0	0	1	0	0	0	0	DDX3X
0	0	0	0	0	0	0	0	0	0	0	0	1	DDX5
0	0	0	0	0	0	0	0	0	0	0	0	1	DEPP1
0	0	0	0	0	0	1	0	0	0	0	0	0	DHCR24
0	1	0	0	0	0	0	0	0	0	0	0	0	DIABLO
0	0	0	0	0	0	0	0	0	0	0	0	1	DICER1
0	0	1	0	0	0	0	0	0	0	0	0	1	DIO2
0	0	0	0	0	0	0	0	0	0	0	0	1	DKK1
0	0	0	1	0	0	0	0	0	0	0	0	0	DLAT
0	0	0	0	0	1	0	0	0	0	0	0	0	DLX5
0	0	0	0	0	0	0	1	0	0	0	0	0	DMD
0	0	0	0	1	0	0	0	0	0	0	0	0	DMPK
0	0	0	0	0	0	1	0	0	0	0	0	0	DNAH9
0	0	0	0	0	0	0	0	1	0	0	0	0	DNAJC7
0	0	0	1	0	0	0	0	0	0	0	0	0	DNM1L
0	0	1	0	0	0	0	0	0	0	0	0	0	DRD1
0	0	1	0	0	0	0	0	0	0	0	0	0	DRD2
0	0	0	0	0	0	0	1	0	0	0	0	0	DSC2
0	0	0	0	0	0	0	1	0	0	0	0	0	DSG2
0	0	0	0	0	0	0	1	0	0	0	0	0	DSP
0	0	0	0	0	0	0	1	0	0	0	0	0	DTNA
0	1	0	1	0	0	0	0	0	0	0	0	1	DUSP1
1	0	0	0	0	0	0	0	0	0	0	0	0	DUSP10
0	1	0	0	0	0	0	0	0	0	0	0	0	DUSP2
0	1	0	0	0	0	0	0	0	0	0	0	0	DUSP4
0	0	1	0	0	0	0	0	0	0	0	0	0	DUSP5
0	0	0	1	0	0	0	0	0	0	0	0	0	DUSP6
0	0	0	0	1	0	0	0	0	0	0	0	0	DYNC1H1
0	0	0	0	1	0	0	0	0	0	0	0	0	DYNC2H1
0	0	0	0	1	0	0	0	0	0	0	0	0	DYNC2I1
0	0	0	0	1	0	0	0	0	0	0	0	0	DYNC2I2
0	0	0	0	1	0	0	0	0	0	0	0	0	DYNLT2B
0	1	0	0	0	0	0	0	0	0	0	0	0	DYSF
0	0	1	1	0	0	0	0	0	0	0	0	0	ECE1
1	0	1	1	0	0	0	0	0	0	0	0	0	EDN1
0	0	1	0	0	0	0	0	0	0	0	0	0	EDN2
0	0	1	0	0	0	0	0	0	0	0	0	0	EDN3
0	0	1	0	0	0	0	0	0	0	0	0	0	EDNRA
1	0	0	0	0	0	0	0	0	0	0	0	0	EFNB1
0	1	0	0	0	0	0	0	0	0	0	0	0	EGF
0	0	0	0	0	0	0	0	0	0	0	0	1	EGFR
1	1	0	0	0	0	0	0	0	0	0	0	0	EGR1
0	0	0	1	0	0	0	0	0	0	0	0	0	EGR2
0	0	0	0	0	0	1	0	0	0	0	0	0	EHBP1L1
0	0	0	1	0	0	0	0	0	0	0	0	0	EIF2A
0	0	0	1	0	0	0	0	0	0	0	0	0	EIF2AK3
0	0	0	0	0	0	0	0	1	0	0	0	0	EIF3B
0	0	0	0	0	0	0	0	1	0	0	0	0	EIF4A1
1	0	0	0	0	0	0	0	1	0	0	0	0	EIF4EBP1
0	0	0	0	0	0	0	0	1	0	0	0	0	EIF6
0	0	0	0	0	0	0	0	0	0	0	0	1	ELAVL1
0	1	0	0	0	0	0	0	0	0	0	0	0	ELF2
0	0	1	1	0	0	0	0	0	0	0	0	0	ELN
0	0	0	0	0	0	0	1	0	0	0	0	0	EMD
0	0	0	0	0	0	0	0	1	0	0	0	0	EMG1
0	0	0	0	0	0	0	0	0	0	0	0	1	ENPP1
0	0	0	1	0	0	0	0	0	0	0	0	0	ENSA
0	0	0	0	1	0	0	0	0	0	0	0	0	EPHA2
0	0	0	0	0	0	1	0	0	0	0	0	0	EPHB4
0	0	0	1	0	0	0	0	0	0	0	0	0	EPHX1
0	0	1	1	0	0	0	0	0	0	0	0	0	EPHX2
1	0	1	1	0	0	0	0	0	0	0	0	0	EPO
0	0	1	0	0	0	0	0	0	0	0	0	0	ERAP1
0	0	0	1	0	0	0	0	0	0	0	0	0	ERCC2
0	0	0	0	1	0	0	0	0	0	0	0	0	ERF
0	0	0	0	0	0	0	0	0	0	0	0	1	ERRFI1
0	0	0	1	0	0	0	0	0	0	0	0	1	ESR1
0	0	1	1	0	0	0	0	0	0	0	0	1	ESR2
0	0	0	0	0	0	0	1	0	0	0	0	0	ETFDH
0	1	0	0	0	0	0	0	0	0	0	0	0	ETNK1
0	1	0	0	0	0	0	0	0	0	0	0	0	ETV6
0	0	1	0	0	0	0	0	0	0	0	0	0	F11
0	0	1	0	0	0	0	0	0	0	0	0	0	F11R
0	0	1	0	0	0	0	0	0	0	0	0	0	F12
0	0	0	1	0	0	0	0	0	0	0	0	0	F2
1	0	0	0	0	0	0	0	0	0	0	0	0	F2R
1	0	0	1	0	0	0	0	0	0	0	0	0	F2RL1
0	0	0	1	0	0	0	0	0	0	0	0	0	F3
0	0	1	1	0	0	0	0	0	0	0	0	0	F7
0	0	0	1	0	0	0	0	0	0	0	0	0	FABP2
0	0	1	0	0	0	0	0	0	0	0	0	0	FABP3
0	0	0	1	0	0	0	0	0	0	0	0	0	FABP5
0	0	0	0	0	0	0	0	0	0	0	0	1	FAM163A
0	0	0	0	0	0	0	0	0	0	0	0	1	FAM180A
0	1	0	0	0	0	0	0	0	0	0	0	0	FAM20A
