diseaseName	diseaseUMLSCUI	source	numGenesAssociatedToDisease	intersection	intersectionSize	geneRatio	bgRatio	pvalue	totalGenesSource	p_adjusted	query	bait	method	type
Intellectual Disability	C3714756	CURATED	694	ROBO1,BRAF,PDIA3,ANKH,ASPM,EEF1B2,SPTAN1,USP7,RALA,YWHAG,HRAS,SVBP,SPTBN1,CHAMP1,NOVA2,CHAF1B	16	16/237	16/14132	0.189477469249238	14132	0.334132311364248	combined_HrasG13R	HrasG13R	combined	Active
Adult Cholangiocarcinoma	C0280725	CURATED	48	THBS1,BRAF,KRAS	3	3/237	3/14132	0.19226188856487	14132	0.335435635368496	combined_HrasG13R	HrasG13R	combined	Active
Nephrotic Syndrome	C0027726	CURATED	91	SYNPO,MYH9,FN1,PLCE1	4	4/237	4/14132	0.196304333434388	14132	0.33888327034989	combined_HrasG13R	HrasG13R	combined	Active
Kidney Diseases	C0022658	CURATED	140	MYH9,XPNPEP3,MPO,PLCE1,RGN	5	5/237	5/14132	0.208612199573485	14132	0.35637917427137	combined_HrasG13R	HrasG13R	combined	Active
Cholangiocarcinoma	C0206698	CURATED	52	THBS1,KRAS,BRAF	3	3/237	3/14132	0.216808170195253	14132	0.362821835836954	combined_HrasG13R	HrasG13R	combined	Active
Myelodysplasias, Hematopoetic	C2713368	CURATED	52	NRAS,KRAS,U2AF1	3	3/237	3/14132	0.216808170195253	14132	0.362821835836954	combined_HrasG13R	HrasG13R	combined	Active
Papillary thyroid carcinoma	C0238463	CURATED	53	NRAS,BRAF,HRAS	3	3/237	3/14132	0.2229905923256	14132	0.365704571413983	combined_HrasG13R	HrasG13R	combined	Active
Gastric Adenocarcinoma	C0278701	CURATED	53	EPHB4,PLCE1,EPHA2	3	3/237	3/14132	0.2229905923256	14132	0.365704571413983	combined_HrasG13R	HrasG13R	combined	Active
Multiple Myeloma	C0026764	CURATED	146	NRAS,BRAF,ROBO1,YAP1,KRAS	5	5/237	5/14132	0.229843547761572	14132	0.371786797938976	combined_HrasG13R	HrasG13R	combined	Active
Cardiomyopathy, Hypertrophic, Familial	C0949658	CURATED	99	KRAS,SHOC2,NEBL,RAF1	4	4/237	4/14132	0.23123325237668	14132	0.371786797938976	combined_HrasG13R	HrasG13R	combined	Active
Focal glomerulosclerosis	C0017668	CURATED	60	PLCE1,FN1,MYH9	3	3/237	3/14132	0.266533760693027	14132	0.424383851977247	combined_HrasG13R	HrasG13R	combined	Active
Non-specific syndromic intellectual disability	C5568766	CURATED	367	SVBP,PTRHD1,RALA,RALGDS,YWHAE,CHAMP1,NOVA2,SPTBN1,YWHAZ	9	9/237	9/14132	0.274944358476354	14132	0.433566103751174	combined_HrasG13R	HrasG13R	combined	Active
Squamous cell carcinoma of the head and neck	C1168401	CURATED	65	YAP1,JUNB,PIK3CA	3	3/237	3/14132	0.29767084363333	14132	0.464933508151107	combined_HrasG13R	HrasG13R	combined	Active
Autosomal recessive non-syndromic intellectual disability	C5680181	CURATED	67	EEF1B2,EEF1D,CEP104	3	3/237	3/14132	0.310078274608905	14132	0.475175968123599	combined_HrasG13R	HrasG13R	combined	Active
Arthrogryposis multiplex congenita	C5779613	CURATED	67	SENP7,ASPM,ACTA1	3	3/237	3/14132	0.310078274608905	14132	0.475175968123599	combined_HrasG13R	HrasG13R	combined	Active
Osteoarthrosis, localized, not specified whether primary or secondary	C0157946	CURATED	117	ESD,TFPI2,EDIL3,ETFA	4	4/237	4/14132	0.312920759496029	14132	0.475175968123599	combined_HrasG13R	HrasG13R	combined	Active
ovarian neoplasm	C0919267	CURATED	182	PIK3CA,YAP1,CRABP2,KRAS,PPP1CC	5	5/237	5/14132	0.36460936915322	14132	0.548586573771817	combined_HrasG13R	HrasG13R	combined	Active
Obesity	C0028754	CURATED	293	MYH9,SLC16A7,SUCLA2,PRKAR1A,FOXC2,ECHS1,CS	7	7/237	7/14132	0.36857677667714	14132	0.549514467045918	combined_HrasG13R	HrasG13R	combined	Active
Pancreatic Neoplasm	C0030297	CURATED	191	BRAF,TFPI2,THBS1,KRAS,MPO	5	5/237	5/14132	0.398844306185358	14132	0.568786662733901	combined_HrasG13R	HrasG13R	combined	Active
malignant neoplasm of head of pancreas	C0153458	CURATED	191	BRAF,TFPI2,MPO,KRAS,THBS1	5	5/237	5/14132	0.398844306185358	14132	0.568786662733901	combined_HrasG13R	HrasG13R	combined	Active
Malignant neoplasm of body of pancreas	C0153459	CURATED	191	BRAF,MPO,TFPI2,KRAS,THBS1	5	5/237	5/14132	0.398844306185358	14132	0.568786662733901	combined_HrasG13R	HrasG13R	combined	Active
Malignant neoplasm of tail of pancreas	C0153460	CURATED	191	MPO,TFPI2,BRAF,THBS1,KRAS	5	5/237	5/14132	0.398844306185358	14132	0.568786662733901	combined_HrasG13R	HrasG13R	combined	Active
Malignant neoplasm of other specified sites of pancreas	C0153463	CURATED	191	THBS1,KRAS,BRAF,MPO,TFPI2	5	5/237	5/14132	0.398844306185358	14132	0.568786662733901	combined_HrasG13R	HrasG13R	combined	Active
Developmental Disabilities	C0008073	CURATED	149	KIF11,LZTR1,NEFL,SPTAN1	4	4/237	4/14132	0.457620613976753	14132	0.646980868036099	combined_HrasG13R	HrasG13R	combined	Active
Congenital heart disease	C0152021	CURATED	95	RIT1,ROBO1,CSRP1	3	3/237	3/14132	0.475127173883681	14132	0.660617334748028	combined_HrasG13R	HrasG13R	combined	Active
