GENE.NAMES	set_WT	set_Inactive	set_Active
LMBRD2	missing	missing	MEK2
LPP	missing	missing	MEK2
LRCH3	MEK2	common	missing
LRP10	missing	missing	common
LRRC8A	missing	missing	MEK2
LRRC8E	missing	missing	MEK1
LSAMP	common	missing	MEK2
LSM12	missing	missing	MEK2
LSR	missing	missing	MEK2
LUZP1	missing	MEK2	MEK2
LYSMD2	missing	missing	MEK2
MACO1	missing	missing	MEK2
MAGED1	MEK1	MEK2	MEK2
MAGED2	missing	missing	MEK2
MAL2	missing	missing	MEK2
MAMLD1	missing	missing	common
MAN1A1	missing	missing	MEK2
MAP2K1	common	common	common
MAP2K2	MEK2	MEK2	MEK2
MAP3K7	missing	missing	MEK2
MAP3K8	MEK1	missing	missing
MAPK1	MEK2	MEK2	missing
MAPK14	missing	missing	MEK2
MARCKSL1	missing	missing	MEK2
MAST4	missing	missing	MEK2
MAT2A	common	MEK2	common
MB21D2	MEK1	MEK2	MEK2
MCOLN3	missing	missing	MEK2
MDH1	missing	common	missing
MEA1	MEK1	missing	MEK2
MEST	common	MEK2	MEK2
METTL2A	missing	missing	MEK2
METTL8	missing	missing	MEK2
MFAP3	MEK2	missing	MEK2
MFGE8	missing	missing	MEK2
MFSD14CP	missing	MEK2	MEK2
MGARP	missing	missing	MEK2
MGST1	missing	common	missing
MGST3	missing	MEK1	MEK2
MICB	missing	missing	MEK2
MICOS10	missing	missing	MEK2
MIDN	missing	missing	MEK2
MKKS	missing	missing	MEK2
MKNK2	common	MEK2	missing
MLF1	missing	missing	MEK1
MLLT11	missing	missing	MEK2
MMADHC	missing	missing	MEK2
MPC2	missing	missing	MEK2
MRC2	missing	missing	MEK2
MTMR6	missing	missing	MEK2
MTRR	MEK1	MEK2	MEK2
MTX2	missing	missing	MEK2
MYL6B	missing	missing	MEK2
MYO1E	missing	missing	MEK2
MYOM2	missing	missing	MEK2
MYPN	MEK2	missing	MEK2
NAA50	missing	missing	MEK2
NAA60	missing	missing	MEK1
NAB1	missing	missing	common
NAB2	missing	missing	common
NACA	missing	missing	MEK2
NAP1L4	missing	missing	MEK2
NAT1	missing	missing	MEK2
NCK1	missing	MEK2	missing
NCKAP5L	missing	missing	MEK2
NCOA4	missing	missing	MEK2
NDRG1	missing	missing	MEK1
NDRG2	common	common	missing
NEDD9	common	MEK2	MEK2
NEFL	missing	MEK1	missing
NEO1	missing	missing	MEK2
NFATC1	missing	missing	MEK2
NHSL2	missing	missing	MEK2
NHSL3	missing	missing	MEK1
NKAPL	missing	missing	MEK1
NKIRAS1	missing	missing	MEK1
NMU	missing	missing	MEK1
NPPC	missing	missing	MEK1
NPTN	missing	missing	MEK2
NPTX2	missing	missing	common
NTMT1	MEK1	MEK1	MEK1
NTS	common	common	common
NUDT4B	missing	missing	MEK2
NUDT5	missing	MEK2	MEK2
OAF	missing	missing	MEK2
OCC1	missing	missing	MEK1
OCIAD1	missing	MEK2	missing
OCRL	missing	missing	MEK2
ODR4	missing	missing	MEK2
OPHN1	missing	MEK1	missing
ORMDL2	MEK1	missing	MEK1
OS9	missing	missing	common
OSER1	common	MEK2	common
OTUD3	MEK1	MEK2	MEK2
OTUD4	MEK1	missing	MEK2
P3H1	missing	missing	MEK2
P3H2	missing	missing	MEK2
P4HA1	missing	missing	MEK2
PACC1	missing	missing	MEK2
PAIP2	common	MEK2	MEK2
PAK2	missing	missing	MEK2
PAQR9	missing	missing	MEK1
PARD6B	missing	missing	MEK1
PARD6G	missing	missing	MEK1
PBDC1	missing	missing	MEK2
PCLAF	common	MEK2	MEK2
PCNX1	missing	MEK2	missing
PDCD2L	missing	missing	MEK2
PDGFD	missing	MEK2	missing
PDLIM5	missing	MEK2	MEK2
PDZRN3	MEK2	missing	missing
PEA15	missing	missing	MEK2
PEAK1	missing	missing	MEK2
PEBP1	missing	missing	MEK2
PEDS1	missing	missing	MEK1
PEG10	MEK1	MEK2	missing
PELI2	MEK1	common	missing
PFKP	missing	missing	MEK1
PGAM1	common	common	missing
PGPEP1	missing	missing	MEK2
PHACTR4	missing	missing	MEK2
PHF13	missing	missing	MEK1
PHLDA1	missing	missing	common
PHLDA2	missing	missing	common
PI4KB	missing	missing	MEK2
PIGL	missing	missing	MEK2
PIH1D2	common	MEK2	MEK2
PIM1	missing	missing	MEK1
PIN1	MEK1	MEK1	MEK1
PJA2	missing	missing	MEK2
PLAUR	missing	missing	common
PLEKHA4	missing	missing	MEK1
PLEKHA6	missing	missing	MEK2
PLEKHG2	missing	missing	MEK2
PLEKHN1	missing	missing	MEK1
PLEKHO1	missing	missing	common
PLIN3	missing	missing	MEK2
PLK1	missing	missing	MEK2
PMAIP1	missing	missing	MEK1
PNMA1	missing	missing	MEK1
POFUT1	missing	missing	MEK2
POLR2I	MEK1	MEK2	missing
POMP	MEK1	MEK2	missing
POR	missing	missing	MEK2
PPP1R12A	missing	MEK2	MEK2
