Majority protein IDs	Gene_name_canonical	graph_localization_annotation	umap_1	umap_2	3D_umap_1	3D_umap_2	3D_umap_3
Q9BQ24	ZFYVE21	early_endosome	-11.728972	-4.5126867	10.038336	5.374264	4.362032
Q9HDC9;H0Y512	APMAP	ER	-8.513468	-4.924449	7.456987	5.017951	6.913851
Q6DD88	ATL3	ER	-8.439757	-3.9764535	8.167475	5.1131573	7.581826
A0A0S2Z3L2;P16615;H7C5W9	ATP2A2	ER	-8.44502	-4.707594	7.693796	5.0254664	7.0751467
V9HW88;P27797;Q53G71;K7EJB9;K7EL50;A0A7P0T861;B4DHR1	CALR	ER	-8.52405	-4.8421493	7.51687	5.00206	6.9895806
Q6UW02	CYP20A1	ER	-7.9593577	-3.6645353	8.102669	4.661124	8.046143
A0A0C4DFL7;Q16850;B3KRC6	CYP51A1	ER	-8.518086	-4.822481	7.5934153	4.9584236	6.9820013
A0A7P0TAQ9;Q8IXB1;A0A7P0Z431;A0A7P0TB97;B3KNK5;B4DP04	DNAJC10	ER	-8.765312	-4.9423704	7.6302366	5.0956035	6.688998
P50402	EMD	ER	-8.7091675	-4.817642	7.675181	5.0454373	6.919609
Q96HE7	ERO1A	ER	-7.7537327	-4.309369	7.460395	4.910296	7.85371
V9HW71;P30040;F8VY02	ERP29	ER	-8.058566	-4.7415977	7.324911	4.898198	7.3933277
Q53XJ5;A0A384NLA0;A0A494C1N0;P26885;F5H0N4	FKBP2	ER	-7.6367583	-4.1757126	7.5094438	4.8978453	8.0752125
V9HWJ0;B4DJ30;Q14697;F5H6X6;B4DSM6;A0A024R592;B4DIW2	GANAB	ER	-8.419888	-4.958621	7.432652	4.7915435	6.989286
Q6IBP2;P30519;B3KSE0;Q53HF1;I3L159;I3L1F5	HMOX2	ER	-8.527397	-4.834436	7.563477	4.8542385	6.9876776
Q5CAQ5;P14625;V9HWP2;A0A7P0TAT8;H0YIV0;A0A7P0TAE1;A0A7P0T823;A0A087WT78;A0A7P0T917;A0A7P0TAY2;Q59FC6;B4DU71;B4DHT9;A0A7P0TBC2	HSP90B1	ER	-8.137534	-4.822281	7.3109336	4.914396	7.32046
A0A384P5T6;Q9Y4L1;E9PJ21;A0A087WWI4;Q6IN67;K7EQK2	HYOU1	ER	-8.300032	-4.9469466	7.3961496	4.8894997	7.07369
Q96AG4	LRRC59	ER	-7.766364	-4.5584426	7.3171463	4.7604833	7.7446947
P07237;A0A024R8S5;A0A7P0TB26;A0A7P0TA35;B4DNL5;A0A7P0TA97;A0A7P0T8J3;A0A7P0T8C0;B4DUA5;A0A7P0T9K9;I3L0S0;B4DLN6;H0Y3Z3	P4HB	ER	-8.2379265	-4.911195	7.367071	4.930936	7.0900664
P30101;V9HVY3;B3KQT9	PDIA3	ER	-8.00178	-4.6741714	7.312118	4.8489575	7.459922
Q6IB11;O00264	PGRMC1	ER	-8.657289	-4.5780635	7.7856073	5.0652137	7.0574965
V9HW95;Q15293;Q5J7V8	RCN1	ER	-8.270234	-4.8046837	7.472525	4.815838	7.1198564
Q14257;A8MXP8;H0YL43	RCN2	ER	-8.382704	-4.956226	7.420251	4.94226	7.0459576
P04843;Q6IBR0;Q53EP4;Q96HX3;B7Z4L4;B4DNJ5	RPN1	ER	-8.185918	-4.932145	7.3700657	4.8408184	7.112105
A0A024R5K8;P50454;B4DN87;A8K259;E9PJH8;E9PR70;E9PK86;E9PMI5	SERPINH1	ER	-8.2258005	-4.8670206	7.374902	4.8177752	7.144374
A0A024R277;O15269;Q6NUL7	SPTLC1	ER	-8.608579	-4.6578026	7.7921896	4.9705963	6.989687
Q14534;E7EVQ6;Q5HYI4;B4DX34	SQLE	ER	-7.44586	-4.2048864	7.448826	4.5474076	7.9743876
P08240;Q6IAX9;A0A024R3M0	SRPRA	ER	-8.118356	-4.262512	7.640234	5.159125	7.7399096
A0A3B3IRT8;P43307;C9J3L8;C9J5W0;B2R6N9;E9PAL7;C9IZQ1	SSR1	ER	-7.716711	-4.284868	7.401782	4.876788	7.9135566
Q5JU69	TOR2A	ER	-8.578229	-4.6203647	7.86176	4.6899257	7.0907454
Q92575;B4E240;B3KTD5	UBXN4	ER	-8.636015	-4.648041	7.789788	5.0029364	6.9896803
B0YIW5;P48444;Q6MZV5;B0YIW6	ARCN1	ERGIC	-9.552272	-3.2893596	9.276036	4.523776	6.9165397
P18085;C9JAK5;C9JPM4	ARF4	ERGIC	-9.770184	-3.189269	9.338062	4.442285	6.7063
B4DSQ5	B4DSQ5[p]	ERGIC	-9.412174	-3.1535246	9.159473	4.2334676	6.831858
O15155;Q53XK0;H7C1N3	BET1	ERGIC	-9.494707	-3.0777907	9.244009	4.2273464	6.839713
Q8WUD6	CHPT1	ERGIC	-9.786631	-3.2098806	9.451797	4.425981	6.586584
P53618;E9PP73	COPB1	ERGIC	-9.545695	-3.2626202	9.305107	4.495296	6.906202
