bait	prey	significant	HCDP	subcell_localization	logFC_APMS	padj_APMS	logFC_TbID	padj_TbID	method
Raf1S257L	PJA1	shared	no	cytosol	1.75652185368899	1.6464205040893e-07	0.213995733960215	0.0123928908429042	AP-MS
Raf1S259F	PJA1	AP-MS	no	cytosol	1.61588185173462	2.29706442522287e-06	0.0388698003634354	0.642282655358948	AP-MS
ArafS214P	PJA2	core	no	NA	2.14124835666314	5.66811540687647e-08	0.906948964174389	1.87503199267585e-09	Both
Raf1S259F	PJA2	shared	no	NA	2.20549667916033	8.98700583374012e-08	0.537545843727364	1.38128488119939e-06	Both
Raf1S257L	PJA2	shared	no	NA	2.0286431286668	1.91211201106016e-09	0.425792820088439	7.65533749252326e-06	Both
MEK2DD	PJA2	TbID	no	NA	0.203027933925671	0.149465175249118	0.895948792418016	3.44552734192487e-09	Both
ArafWT	PJA2	shared	no	NA	1.84277279839508	4.13996351347699e-08	0.509229032185695	5.27673747573141e-07	Both
KrasG12V	PKD1L3	AP-MS	no	NA	0.750360263318148	0.0185987239823445	NA	NA	AP-MS
ERK2WT	PKHD1L1	AP-MS	no	NA	1.90298523401172	0.000210464622145254	NA	NA	AP-MS
ERK2DD	PKHD1L1	AP-MS	no	NA	1.92337860856691	0.000362010381160944	NA	NA	AP-MS
HrasWT	PKM	AP-MS	yes	cytosol	1.04960076206254	0.00044494776393627	0.0551179289757129	0.626005910683726	Both
ArafS214P	PKM	shared	yes	cytosol	0.994261697735818	0.000213565274543698	0.861403757027554	2.44860836612182e-07	Both
BrafV600E	PKM	shared	yes	cytosol	0.410491610553102	0.0463310077495741	0.849712518176807	9.16018817449043e-08	Both
NrasQ61K	PKM	TbID	yes	cytosol	0.0558160793060268	0.872555069692396	0.812099404933823	1.20990099133339e-06	Both
ERK2AA	PKM	core	yes	cytosol	1.36064978593071	1.73812526206544e-05	0.936111284133452	8.18748164049277e-07	Both
Raf1S259F	PKM	shared	yes	cytosol	0.604850939967772	0.0060362003563592	0.973103958371426	2.95356603989411e-08	Both
Raf1D486A	PKM	TbID	yes	cytosol	0.188287156499328	0.40038726361304	1.12085446252766	4.9289726489428e-08	Both
HrasG13R	PKM	shared	yes	cytosol	0.691538648368707	0.0302200922830002	0.81049335584113	1.79362345093454e-06	Both
ArafD447A	PKM	TbID	yes	cytosol	-0.102706006891601	0.668147268295253	1.06339114280399	8.37267828451805e-08	Both
BrafG469A	PKM	shared	yes	cytosol	0.930600571413428	0.000978587065576836	1.3212966064792	6.90581487530874e-09	Both
Raf1S257L	PKM	core	yes	cytosol	1.17948970953326	2.95752452622496e-05	1.10794294640636	1.87715555129382e-08	Both
BrafD594N	PKN2	TbID	no	actin_cytoskeleton	0.103483054582069	0.624020934432686	0.971977092613311	2.88859329349916e-09	TbID
